description,type,price,size,bedrooms,parking_spaces,bathrooms,modo
"Rua 17 Chacará 180 A, Setor Habitacional Samambaia (taguatinga) · Brasília",Studio,10.860,47 m²,1 quarto,0 vaga,,
"Rua 16, Guará Ii  · Brasília",Apartamento,4.003,50 m²,1 quarto,0 vaga,,
"Quadra Sqs 306, Superquadra Sul 306 · Brasília",Apartamento,1.349,161 m²,1 quarto,0 vaga,,
"Sha Conjunto 5 Chacara 13, Setor Habitacional Arniqueira (águas Claras), 71995085, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,1.667,1750 m²,6 quartos,6 vagas,,
"Sepn 504 Bloco C, Asa Norte · Brasília",Studio,13.210,38 m²,1 quarto,1 vaga,,
"Q. 209 - Águas Claras Brasília - Df 71930-750 Brasil, Quadra 209 · Brasília",apartamento,12.210,200 m²,3 quartos,2 vagas,,
"Rua 20 Sul, Sul (águas Claras) · Brasília",Apartamento,3.103,134 m²,3 quartos,2 vagas,,
"Sh Contagem Condominío Recanto dos Nobres - Sobradinho Brasília - Df Brasil, Condominío Recanto dos Nobres · Brasília",apartamento,11.250,270 m²,1 quarto,5 vagas,,
"Sha Conjunto 5 Chácara 13, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,9.007,630 m²,5 quartos,4 vagas,,
"Avenida Parque Águas Claras, Norte (águas Claras) · Brasília",Apartamento,5.897,162 m²,4 quartos,3 vagas,,
"405 - Shcs Sqs 406 - Brasília Df 70239-020 Brasil, Sqs 406 · Brasília",apartamento,15.730,92 m²,1 quarto,0 vaga,,
"310 - Shcnw Sqnw - Brasília Df 70297-400 Brasil, Sqnw · Brasília",Studio,11.340,118 m²,1 quarto,2 vagas,,
"Colônia Agrícola Samambaia, Colônia Agrícola Samambaia · Brasília",Casa,4.554,1000 m²,6 quartos,4 vagas,,
"Setor Habitacional Vicente Pires, Taguatinga Norte (taguatinga) · Brasília",Casa,7.847,700 m²,5 quartos,4 vagas,,
"Rua das Pitangueiras, Águas Claras · Brasília",Apartamento,7.992,263 m²,3 quartos,2 vagas,,
"0 - St. de Habitações Individuais Sul Qi 23 - Lago Sul Brasília - Df 71660-000 Brasil, Qi 23 · Brasília",apartamento,10.650,380 m²,1 quarto,2 vagas,,
"Csg 3 Lote 7  Bloco C, Taguatinga Sul (taguatinga) · Brasília",Apartamento,10.830,47 m²,1 quarto,1 vaga,,
"Sha Conjunto 4 Chácara 13, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,11.960,100 m²,2 quartos,2 vagas,,
"Avenida Central Blocos 13151425, Núcleo Bandeirante · Brasília",apartamento,2.573,44 m²,2 quartos,0 vaga,,
"Sibs Q 3, Q 3 · Brasília",Casa,3.871,380 m²,3 quartos,5 vagas,,
"St. G Sul Q Cs Csg 3 - Taguatinga Brasília - Df Brasil, Csg 3 · Brasília",Apartamento,1.879,52 m²,1 quarto,1 vaga,,
"Csg 3 Lote 07, Ed. Tagua Life Center (taguatinga) · Brasília",apartamento,21.230,102 m²,1 quarto,1 vaga,,
"St. G Sul Q Cs Csg 13 - Taguatinga Brasília - Df Brasil, Csg 13 · Brasília",Apartamento,3.115,49 m²,1 quarto,1 vaga,,
"Setor M Norte Qnm 36, Taguatinga · Brasília",Apartamento,3.592,70 m²,2 quartos,2 vagas,,
"Qn 312, Samambaia Sul (samambaia) · Brasília",studio,3.358,45 m²,2 quartos,0 vaga,,
"Setor Auxiliar de Garagens Oficinas E Comércio Afins, Taguatinga Norte · Brasília",Apartamento,1.530,50 m²,2 quartos,1 vaga,,
"Quadra Q 2 Conjunto D, Setor de Desenvolvimento Econômico (taguatinga) · Brasília",Apartamento,963,65 m²,2 quartos,0 vaga,,
"Qs 112 Conj. 3 - Samambaia Brasília - Df 72302-540 Brasil, Conjunto 3 · Brasília",Apartamento,2.257,45 m²,2 quartos,0 vaga,,
"Qr 601, Samambaia Norte  · Brasília",studio,1.310,40 m²,1 quarto,0 vaga,,
"Setor Sagoca, Res. Jk · Brasília",Apartamento,1.722,50 m²,2 quartos,1 vaga,,
"Ceilândia Brasília - Df 72265-010 Brasil, Cêilandia  · Brasília",Studio,1.120,49 m²,1 quarto,0 vaga,,
"Samambaia Sul, Samambaia Sul (samambaia) · Brasília",Studio,2.333,35 m²,1 quarto,0 vaga,,
"Quadra Q 2 Conjunto D, Setor de Desenvolvimento Econômico (taguatinga) · Brasília",Apartamento,941,65 m²,2 quartos,0 vaga,,
"Setor Sagoca, Taguatinga Norte (taguatinga) · Brasília",Apartamento,1.054,50 m²,2 quartos,1 vaga,,
"Setor Sagoca, Setor M-norte · Brasília",apartamento,1.310,50 m²,2 quartos,1 vaga,,
"Qr, Samambaia Norte (samambaia) · Brasília",Apartamento,2.426,116 m²,3 quartos,1 vaga,,
"Qr 202, Samambaia Norte (samambaia) · Brasília",apartamento,2.585,56 m²,2 quartos,1 vaga,,
"Qnm 29 Área Especial J, Ceilândia Sul (ceilândia) · Brasília",Apartamento,7.024,42 m²,2 quartos,1 vaga,,
"Samambaia Norte, Samambaia · Brasília",Apartamento,2.515,48 m²,1 quarto,1 vaga,,
"Qr 406 Conjunto 21 A Lote 1, Samambaia Norte (samambaia) · Brasília",Apartamento,2.577,58 m²,2 quartos,1 vaga,,
"Quadra, Samambaia Sul (samambaia) · Brasília",Apartamento,2.007,53 m²,2 quartos,1 vaga,,
"Qr 601 Conjunto 17, Samambaia Norte (samambaia) · Brasília",Casa,1.636,92 m²,2 quartos,2 vagas,,
